"","V1","V2","V3","V4","V5","V6"
"784",35,24,0,2,0,0
"785",55,21,0,1,0,3
"786",52,28,0,1,0,6
"787",53,25,0,0,0,2
"788",64,38,0,1,0,4
"789",96,44,0,0,0,8
"790",106,41,0,3,0,6
"791",83,34,0,10,0,4
"792",58,19,0,0,0,5
"793",35,16,0,0,0,0
"794",16,10,0,0,0,0
"795",12,12,0,0,0,0
"796",11,10,0,0,0,0
"797",8,5,0,0,0,0
"798",6,1,0,0,0,0
"799",221,44,8,0,3,21
"800",239,10,8,0,0,24
"801",219,39,8,0,0,28
"802",232,54,16,1,4,8
"803",125,39,13,1,4,12
"804",115,32,24,1,0,5
"805",156,22,7,1,0,7
"806",200,21,3,0,0,8
"807",194,39,7,1,0,8
"808",261,29,3,1,0,7
"809",254,34,5,2,0,7
"810",218,28,5,1,0,2
"811",161,17,0,0,0,3
"812",136,6,0,1,0,2
"813",66,10,3,0,0,0
"814",36,8,0,0,0,1
"815",32,8,0,0,0,0
"816",3,1,0,0,0,0
"817",4,0,0,0,0,0
"818",206,41,5,1,1,20
"819",211,22,6,0,0,18
"820",243,28,5,2,0,29
"821",218,60,13,5,3,9
"822",114,31,7,4,1,10
"823",125,24,10,1,0,5
"824",148,17,3,0,0,6
"825",173,18,2,0,0,4
"826",155,49,2,5,0,7
"827",231,25,2,3,0,7
"828",216,26,4,12,0,4
"829",163,19,3,10,0,3
"830",108,13,0,0,0,3
"831",91,10,0,4,0,2
"832",47,13,1,0,0,0
"833",36,16,0,4,0,3
"834",14,2,0,0,0,0
"835",8,2,0,0,0,0
"836",10,1,0,1,0,1
"837",214,45,5,14,2,35
"838",234,60,1,11,1,39
"839",284,66,3,10,1,34
"840",326,53,4,10,2,21
"841",168,50,1,11,1,21
"842",149,31,4,11,2,6
"843",196,27,4,8,0,9
"844",262,40,1,9,1,12
"845",371,53,9,21,0,16
"846",413,68,5,19,0,18
"847",457,62,4,18,0,21
"848",374,43,4,13,0,13
"849",226,28,0,8,0,7
"850",125,21,0,9,0,4
"851",71,21,0,4,0,0
"852",48,12,0,0,0,1
"853",32,6,0,1,0,1
"854",16,2,0,0,0,0
"855",0,10,0,0,0,0
"856",176,43,2,11,3,35
"857",238,43,2,12,2,31
"858",279,60,4,10,2,29
"859",325,67,3,9,5,12
"860",142,35,1,12,2,14
"861",145,39,1,9,1,11
"862",194,33,2,9,1,13
"863",272,30,1,11,3,13
"864",291,56,3,15,0,16
"865",384,58,4,22,0,21
"866",364,59,3,17,0,18
"867",260,33,3,17,0,13
"868",141,35,0,9,0,7
"869",99,19,0,10,0,5
"870",46,22,0,5,0,0
"871",44,12,0,0,0,2
"872",31,7,0,3,0,3
"873",21,6,0,0,0,0
"874",3,16,0,0,0,1
"875",7,511,0,0,0,19
"876",16,485,0,4,0,23
"877",16,453,0,0,0,15
"878",16,443,0,0,0,13
"879",13,224,0,0,0,11
"880",17,171,0,0,0,3
"881",23,183,0,0,0,1
"882",33,172,3,4,0,1
"883",32,210,0,3,0,3
"884",46,175,0,0,3,5
"885",38,109,6,0,0,1
"886",26,115,0,0,0,1
"887",14,75,5,0,0,2
"888",3,60,0,0,0,0
"889",0,59,0,0,0,0
"890",0,34,0,0,0,2
"891",0,26,0,0,0,0
"892",0,7,0,0,0,0
"893",2,0,0,0,0,0
"894",4,467,0,0,0,30
"895",11,411,4,5,0,19
"896",15,433,0,0,0,15
"897",17,394,0,0,0,13
"898",24,247,0,0,0,7
"899",13,150,0,0,0,2
"900",14,178,0,0,0,0
"901",18,188,0,5,0,1
"902",30,148,0,3,0,2
"903",19,159,0,0,3,4
"904",38,94,0,0,0,2
"905",13,96,0,0,0,1
"906",5,78,0,0,0,1
"907",0,61,0,0,0,1
"908",0,71,0,0,0,0
"909",4,37,0,0,0,2
"910",0,31,0,0,0,0
"911",0,15,0,0,0,0
"912",8,0,0,0,0,0
"913",114,27,0,1,0,26
"914",147,37,2,2,0,26
"915",149,36,2,5,0,30
"916",173,55,0,7,2,26
